pl_name,A AÑOS LUZ DE LA TIERRA,Valor_masa_multiplicador,MAGNITUD ESTELAR,mj_mt,FECHA DE DESCUBRIMIENTO,Tipo_planeta
11 Comae Berenices b,304,19.4,472.307,317.83,2007,Gigante gaseoso
11 Ursae Minoris b,409,14.74,5.013,317.83,2009,Gigante gaseoso
14 Andrómeda b,246,4.8,523.133,317.83,2008,Gigante gaseoso
14 Herculis b,58,4.66,661.935,317.83,2002,Gigante gaseoso
16 Cygni B b,69,1.78,6.215,317.83,1996,Gigante gaseoso
18 Delphini b,249,10.3,551.048,317.83,2008,Gigante gaseoso
1RXS J160929.1-210524 b,454,8,12.618,317.83,2008,Gigante gaseoso
24 Bootis b,313,0.91,5.59,317.83,2018,Gigante gaseoso
24 Sextantis b,235,1.99,64.535,317.83,2010,Gigante gaseoso
24 Sextantis c,235,0.86,64.535,317.83,2010,Gigante gaseoso
2MASS J01033563-5515561 AB b,154,13,15.788,317.83,2013,Gigante gaseoso
2MASS J01225093-2439505 b,110,24.5,14.244,317.83,2013,Gigante gaseoso
2MASS J02192210-3925225 b,131,13.9,150.123,317.83,2015,Gigante gaseoso
2MASS J04414489 + 2301513 b,393,7.5,189.668,317.83,2010,Gigante gaseoso
2MASS J12073346-3932539 b,210,5,20.15,317.83,2004,Gigante gaseoso
2MASS J19383260 + 4603591 b,1293,1.9,12.651,317.83,2015,Gigante gaseoso
2MASS J21402931 + 1625183 A b,108,20.95,173.961,317.83,2009,Gigante gaseoso
2MASS J22362452 + 4751425 b,227,12.5,12.368,317.83,2016,Gigante gaseoso
30 Arietis B b,146,13.82,709.209,317.83,2009,Gigante gaseoso
42 Draconis b,296,3.88,48.262,317.83,2008,Gigante gaseoso
47 Ursae Majoris b,45,2.53,503.352,317.83,1996,Gigante gaseoso
47 Ursae Majoris c,45,0.54,503.352,317.83,2001,Gigante gaseoso
47 Ursae Majoris d,45,1.64,503.352,317.83,2009,Gigante gaseoso
4 Ursae Majoris b,240,7.1,45.801,317.83,2006,Gigante gaseoso
51 Eridani b,97,2,521.149,317.83,2015,Gigante gaseoso
51 Pegasi b,50,0.46,545.309,317.83,1995,Gigante gaseoso
55 Cancri b,41,0.8306,595.084,317.83,1996,Gigante gaseoso
55 Cancri c,41,0.1714,595.084,317.83,2004,Gigante gaseoso
55 Cancri d,41,3.878,595.084,317.83,2002,Gigante gaseoso
55 Cancri f,41,0.141,595.084,317.83,2007,Gigante gaseoso
6 Lyncis b,178,2.01,587.307,317.83,2008,Gigante gaseoso
70 virginis b,58,7.49,496.808,317.83,1996,Gigante gaseoso
